,Entry,Employee Subgroup
7456,2014,Hourly
7457,2014,Hourly
7458,2014,Hourly
7459,2014,Hourly
7460,2014,Hourly
7461,2015,Nonexempt
7462,2014,Nonexempt
7463,2014,Nonexempt
7464,2014,Hourly
7465,2014,Hourly
7466,2014,Hourly
7467,2014,Nonexempt
7468,2014,Salary Grade 12
7469,2014,Nonexempt
7470,2015,Salary Grade Less 12
7471,2014,Hourly
7472,2014,Hourly
7473,2014,Hourly
7474,2014,Hourly
7475,2014,Salary Grade Less 12
7476,2014,Salary Grade Less 12
7477,2014,Nonexempt
7478,2014,Nonexempt
7479,2014,Executive
7480,2014,Salary Grade Less 12
7481,2014,Hourly
7482,2014,Nonexempt
7483,2014,Salary Grade 12
7484,2014,Salary Grade Less 12
7485,2014,Salary Grade Less 12
7486,2014,Salary Grade Less 12
7487,2014,Salary Grade Less 12
7488,2014,Salary Grade Less 12
7489,2014,Hourly
7490,2014,Hourly
7491,2014,Salary Grade Less 12
7492,2014,Hourly
7493,2014,Hourly
7494,2014,Hourly
7495,2014,Salary Grade Less 12
7496,2014,Hourly
7497,2014,Hourly
7498,2014,Salary Grade Less 12
7499,2014,Nonexempt
7500,2014,Hourly
7501,2014,Hourly
7502,2014,Salary Grade Less 12
7503,2014,Hourly
7504,2014,Hourly
7505,2014,Salary Grade Less 12
7506,2014,Hourly
7507,2014,Hourly
7508,2014,Hourly
7509,2014,Hourly
7510,2014,Salary Grade Less 12
7511,2014,Salary Grade Less 12
7512,2014,Salary Grade 12
7513,2014,Salary Grade Less 12
7514,2014,Salary Grade Less 12
7515,2014,Hourly
7516,2014,Nonexempt
7517,2014,Hourly
7518,2014,Hourly
7519,2014,Hourly
7520,2014,Hourly
7521,2014,Hourly
7522,2014,Nonexempt
7523,2014,Salary Grade Less 12
7524,2014,Salary Grade Less 12
7525,2014,Salary Grade 12
7526,2014,Salary Grade Less 12
7527,2014,Salary Grade Less 12
7528,2007,Salary Grade Less 12
7529,2011,Salary Grade Less 12
7530,2014,Salary Grade Less 12
7531,2004,Salary Grade 12
7532,2014,Salary Grade Less 12
7533,2014,Salary Grade Less 12
7534,2014,Salary Grade Less 12
7535,2014,Salary Grade Less 12
7536,2014,Salary Grade Less 12
7537,2014,Salary Grade Less 12
7539,2014,Salary Grade Less 12
7540,2014,Salary Grade Less 12
7541,2014,Salary Grade Less 12
7542,2014,Salary Grade Less 12
7543,2014,Hourly
7544,2014,Hourly
7545,2014,Hourly
7546,2014,Hourly
7547,2014,Salary Grade Less 12
7549,2014,Salary Grade Less 12
7550,2014,Nonexempt
7551,2014,Nonexempt
7552,2014,Nonexempt
7553,2014,Hourly
7554,2015,Hourly
7555,2014,Hourly
7556,2014,Hourly
7557,2014,Hourly
7558,2015,Salary Grade Less 12
7559,2014,Hourly
7560,2014,Nonexempt
7561,2014,Hourly
7562,2014,Hourly
7563,2014,Salary Grade Less 12
7564,2014,Nonexempt
7565,2012,Salary Grade 12
7566,2014,Salary Grade Less 12
7567,2010,Salary Grade Less 12
7568,2014,Hourly
7569,2014,Salary Grade Less 12
7570,2014,Salary Grade Less 12
7571,2014,Salary Grade Less 12
7572,2014,Salary Grade Less 12
7573,2014,Nonexempt
7574,2014,Hourly
7575,2014,Hourly
7576,2014,Nonexempt
7577,2014,Hourly
7578,2014,Hourly
7579,2014,Hourly
7580,2014,Salary Grade 12
7581,2014,Hourly
7582,2014,Hourly
7583,2014,Senior Executive
7584,2014,Hourly
7585,2014,Nonexempt
7586,2014,Hourly
7587,2014,Hourly
7588,2014,Hourly
7589,2014,Nonexempt
7590,2014,Nonexempt
7591,2014,Salary Grade Less 12
7592,2014,Nonexempt
7593,2014,Salary Grade Less 12
7594,2001,Salary Grade Less 12
7595,2013,Salary Grade Less 12
7596,2014,Hourly
7597,2014,Salary Grade Less 12
7598,2014,Salary Grade Less 12
7599,2014,Nonexempt
7600,2014,Salary Grade Less 12
7601,2013,Salary Grade Less 12
7602,2014,Salary Grade Less 12
7603,2014,Nonexempt
7604,2005,Salary Grade Less 12
7605,2014,Nonexempt
7606,2014,Salary Grade Less 12
7607,2014,Salary Grade Less 12
7608,2014,Salary Grade Less 12
7609,2014,Nonexempt
7610,2014,Salary Grade Less 12
7611,2014,Salary Grade Less 12
7612,2014,Nonexempt
7613,2014,Nonexempt
7614,2014,Nonexempt
7615,2014,Nonexempt
7616,2014,Salary Grade Less 12
7617,2014,Nonexempt
7618,2008,Salary Grade Less 12
7619,2014,Hourly
7620,2014,Hourly
7621,2014,Nonexempt
7622,2014,Hourly
7623,2014,Hourly
7624,2014,Hourly
7625,2014,Hourly
7626,2014,Salary Grade Less 12
7627,2014,Salary Grade Less 12
7628,2014,Salary Grade Less 12
7629,2014,Salary Grade Less 12
7630,2014,Salary Grade Less 12
7631,2014,Nonexempt
7632,2014,Hourly
7633,2014,Hourly
7634,2014,Hourly
7635,2014,Hourly
7636,2014,Hourly
7637,2014,Salary Grade Less 12
7638,2014,Salary Grade 12
7639,2014,Nonexempt
7640,2014,Nonexempt
7641,2014,Salary Grade Less 12
7642,2014,Salary Grade Less 12
7643,2014,Hourly
7644,2014,Salary Grade Less 12
7645,2014,Nonexempt
7646,2014,Salary Grade Less 12
7647,2014,Salary Grade Less 12
7648,2014,Salary Grade Less 12
7649,2014,Salary Grade Less 12
7650,2004,Salary Grade Less 12
7651,2014,Salary Grade Less 12
7652,2014,Nonexempt
7653,2014,Hourly
7654,2014,Hourly
7655,2002,Salary Grade Less 12
7656,2014,Hourly
7657,2014,Hourly
7658,2014,Hourly
7659,2014,Salary Grade Less 12
7660,2007,Salary Grade Less 12
7661,2014,Salary Grade Less 12
7662,2014,Salary Grade 12
7663,2002,Salary Grade Less 12
7664,2014,Nonexempt
7665,2014,Nonexempt
7666,2014,Nonexempt
7667,2014,Nonexempt
7668,2014,Nonexempt
7669,2014,Hourly
7670,2014,Hourly
7671,2014,Hourly
7672,2014,Hourly
7673,2014,Hourly
7674,2014,Nonexempt
7675,2014,Hourly
7676,2014,Hourly
7677,2002,Salary Grade Less 12
7678,2014,Salary Grade Less 12
7679,2014,Salary Grade Less 12
7680,2015,Salary Grade Less 12
7681,2014,Salary Grade Less 12
7682,2015,Salary Grade Less 12
7683,1999,Salary Grade Less 12
7684,2014,Hourly
7685,2014,Nonexempt
7686,2014,Salary Grade Less 12
7687,2014,Salary Grade Less 12
7688,2015,Hourly
7689,2015,Salary Grade Less 12
7690,2015,Salary Grade Less 12
7691,2015,Nonexempt
7692,2000,Salary Grade Less 12
7693,2015,Salary Grade Less 12
7694,2015,Nonexempt
7695,2015,Hourly
7696,2015,Hourly
7697,2015,Hourly
7698,2015,Hourly
7699,2015,Hourly
7700,2015,Hourly
7701,2015,Nonexempt
7702,2015,Nonexempt
7703,2015,Hourly
7704,2015,Hourly
7705,2015,Hourly
7706,2015,Hourly
7707,2015,Salary Grade Less 12
7708,2015,Nonexempt
7709,2015,Salary Grade Less 12
7710,2015,Nonexempt
7711,2015,Nonexempt
7712,2015,Hourly
7713,2015,Hourly
7714,2015,Salary Grade Less 12
7715,2015,Salary Grade Less 12
7716,2002,Executive
7717,2015,Salary Grade Less 12
7718,2015,Nonexempt
7719,2015,Salary Grade Less 12
7720,2015,Nonexempt
7721,2015,Nonexempt
7722,2015,Nonexempt
7723,2015,Salary Grade Less 12
7724,2015,Salary Grade Less 12
7725,2007,Salary Grade Less 12
7726,2010,Salary Grade Less 12
7727,2015,Salary Grade Less 12
7728,2015,Salary Grade Less 12
7729,2015,Salary Grade Less 12
7730,2015,Salary Grade Less 12
7731,2015,Salary Grade Less 12
7732,2015,Nonexempt
7733,2015,Salary Grade Less 12
7734,2015,Salary Grade Less 12
7735,2015,Hourly
7736,2015,Executive
7737,2015,Hourly
7738,2015,Salary Grade Less 12
7739,2015,Hourly
7740,2015,Hourly
7741,2015,Salary Grade Less 12
7742,2003,Salary Grade 12
7743,2015,Nonexempt
7744,2015,Hourly
7745,2015,Hourly
7746,2008,Salary Grade Less 12
7747,2015,Salary Grade Less 12
7748,2015,Salary Grade Less 12
7749,2000,Salary Grade Less 12
7750,2015,Salary Grade Less 12
7751,2015,Salary Grade 12
7752,2015,Nonexempt
7753,2015,Salary Grade Less 12
7754,2015,Hourly
7755,2015,Hourly
7756,2015,Hourly
7757,2015,Hourly
7758,2015,Hourly
7759,2015,Salary Grade Less 12
7760,2015,Salary Grade Less 12
7761,2015,Salary Grade Less 12
7762,2015,Hourly
7763,2015,Hourly
7764,2015,Hourly
7765,2015,Salary Grade Less 12
7766,2015,Hourly
7767,2015,Hourly
7768,2015,Hourly
7769,2015,Hourly
7770,2015,Hourly
7771,2015,Hourly
7772,2015,Salary Grade Less 12
7773,2015,Nonexempt
7774,2015,Nonexempt
7775,2015,Nonexempt
7776,2015,Salary Grade Less 12
7777,2015,Salary Grade Less 12
7778,2015,Salary Grade Less 12
7779,2015,Salary Grade Less 12
7780,2015,Salary Grade Less 12
7781,2015,Salary Grade Less 12
7782,2015,Salary Grade Less 12
7783,2008,Salary Grade Less 12
7784,2015,Salary Grade Less 12
7785,2015,Salary Grade Less 12
7786,2015,Salary Grade Less 12
7787,2015,Salary Grade Less 12
7788,2015,Hourly
7789,2015,Hourly
7790,2015,Salary Grade 12
7791,2015,Nonexempt
7792,2015,Executive
7793,2015,Hourly
7794,2015,Hourly
7795,2015,Salary Grade Less 12
7796,2015,Hourly
7797,2015,Nonexempt
7798,2015,Hourly
7799,2015,Salary Grade Less 12
7800,2015,Hourly
7801,2015,Hourly
7802,2015,Hourly
7803,2015,Hourly
7804,2015,Hourly
7805,2015,Nonexempt
7806,2015,Nonexempt
7807,2002,Salary Grade Less 12
7808,2010,Salary Grade 12
7809,2015,Salary Grade Less 12
7810,2015,Hourly
7811,2015,Nonexempt
7812,2015,Salary Grade Less 12
7813,2015,Salary Grade Less 12
7814,2015,Salary Grade Less 12
7815,2015,Hourly
7816,2015,Hourly
7817,2015,Hourly
7818,2015,Salary Grade Less 12
7819,2015,Hourly
7820,2015,Hourly
7821,2015,Hourly
7822,2015,Hourly
7823,2015,Hourly
7824,2015,Hourly
7825,2015,Hourly
7826,2015,Hourly
7827,2015,Hourly
7828,2015,Salary Grade 12
7829,2015,Salary Grade Less 12
7830,2015,Salary Grade Less 12
7831,2007,Salary Grade Less 12
7832,2015,Nonexempt
7833,2015,Hourly
7834,2015,Hourly
7835,2015,Salary Grade Less 12
7836,2015,Nonexempt
7837,2015,Hourly
7838,1998,Executive
7839,2015,Hourly
7840,2015,Salary Grade Less 12
7841,2015,Salary Grade Less 12
7842,2015,Hourly
7843,2015,Nonexempt
7844,2015,Salary Grade Less 12
7845,2015,Salary Grade Less 12
7846,2015,Hourly
7847,2015,Hourly
7848,2015,Nonexempt
7849,2015,Hourly
7850,2015,Hourly
7851,2015,Salary Grade Less 12
7852,2015,Hourly
7853,2015,Hourly
7854,2015,Salary Grade Less 12
7855,2015,Nonexempt
7856,2011,Salary Grade Less 12
7857,2015,Salary Grade Less 12
7858,2015,Salary Grade 12
7859,2015,Salary Grade Less 12
7860,2015,Salary Grade Less 12
7861,2015,Salary Grade Less 12
7862,2015,Salary Grade Less 12
7863,2011,Salary Grade Less 12
7864,2015,Salary Grade Less 12
7865,2015,Salary Grade Less 12
7867,2015,Salary Grade 12
7868,2015,Salary Grade Less 12
7869,2015,Hourly
7870,2015,Hourly
7871,2015,Nonexempt
7872,2015,Salary Grade Less 12
7873,2015,Salary Grade Less 12
7874,2015,Salary Grade Less 12
7875,2015,Salary Grade 12
7876,2015,Salary Grade Less 12
7877,2015,Salary Grade Less 12
7878,2015,Salary Grade Less 12
7879,2015,Salary Grade Less 12
7880,2015,Salary Grade Less 12
7881,2015,Salary Grade Less 12
7882,2015,Salary Grade Less 12
7883,2015,Nonexempt
7884,2015,Salary Grade Less 12
7885,2015,Hourly
7886,2015,Hourly
7887,2015,Hourly
7888,2015,Hourly
7889,2015,Hourly
7890,2015,Nonexempt
7891,2015,Hourly
7892,2015,Salary Grade Less 12
7893,2015,Salary Grade Less 12
7894,2015,Salary Grade Less 12
7895,2015,Nonexempt
7896,2015,Salary Grade Less 12
7897,2015,Salary Grade Less 12
7898,2015,Salary Grade Less 12
7899,2015,Salary Grade Less 12
7900,2015,Salary Grade Less 12
7901,2015,Salary Grade Less 12
7902,2015,Salary Grade 12
7903,2015,Salary Grade Less 12
7904,2015,Salary Grade Less 12
7905,2015,Nonexempt
7906,2006,Salary Grade 12
7907,2015,Nonexempt
7908,2015,Salary Grade Less 12
7909,2015,Salary Grade Less 12
7910,2004,Salary Grade Less 12
7911,2015,Salary Grade 12
7912,2015,Nonexempt
7913,2015,Salary Grade Less 12
7914,2015,Salary Grade Less 12
7915,2015,Salary Grade Less 12
7916,2015,Salary Grade Less 12
7917,2015,Nonexempt
7918,2015,Salary Grade Less 12
7919,2015,Hourly
7920,2015,Salary Grade Less 12
7921,2015,Nonexempt
7922,2015,Hourly
7923,2015,Hourly
7924,2015,Hourly
7925,2015,Nonexempt
7926,2015,Hourly
7927,2015,Hourly
7928,2015,Hourly
7929,2015,Hourly
7930,2015,Hourly
7931,2015,Salary Grade Less 12
7932,2015,Hourly
7933,2015,Hourly
7934,2015,Hourly
7935,2015,Hourly
7936,2015,Hourly
7937,2015,Hourly
7938,2015,Hourly
7939,2015,Hourly
7940,2015,Hourly
7941,2015,Hourly
7942,2015,Hourly
7943,2015,Hourly
7944,2015,Hourly
7945,2015,Hourly
7946,2015,Salary Grade Less 12
7947,2015,Nonexempt
7948,2015,Salary Grade Less 12
7949,2015,Salary Grade Less 12
7950,2015,Salary Grade Less 12
7951,2015,Salary Grade Less 12
7952,2015,Hourly
7953,2015,Hourly
7954,2015,Salary Grade 12
7955,2015,Hourly
7956,2015,Hourly
7957,2015,Nonexempt
7958,2015,Salary Grade Less 12
7959,2015,Salary Grade 12
7960,2015,Nonexempt
7961,2015,Salary Grade Less 12
7962,2015,Salary Grade Less 12
7963,2015,Salary Grade Less 12
7964,2015,Hourly
7965,2015,Hourly
7966,2015,Salary Grade Less 12
7967,2015,Salary Grade 12
7968,2015,Salary Grade Less 12
7969,2015,Salary Grade Less 12
7970,2015,Salary Grade Less 12
7971,2015,Salary Grade Less 12
7972,2015,Hourly
7973,2015,Hourly
7974,2015,Salary Grade Less 12
7975,2015,Hourly
7976,2015,Hourly
7977,2015,Salary Grade 12
7978,2015,Hourly
7979,2015,Hourly
7980,2015,Nonexempt
7981,2015,Hourly
7982,2015,Hourly
7983,2015,Salary Grade Less 12
7984,2015,Salary Grade Less 12
7985,2015,Salary Grade Less 12
7986,2015,Salary Grade Less 12
7987,2015,Salary Grade Less 12
7988,2015,Hourly
7989,2015,Executive
7990,2015,Hourly
7992,2015,Hourly
7993,2015,Hourly
7994,2015,Hourly
7995,2015,Hourly
7996,2015,Hourly
7997,2015,Hourly
7998,2015,Hourly
7999,2015,Executive
8000,2015,Nonexempt
8001,2015,Hourly
8002,2015,Hourly
8003,2015,Hourly
8004,2015,Salary Grade Less 12
8005,2015,Salary Grade Less 12
8006,2015,Salary Grade Less 12
8007,2015,Salary Grade Less 12
8008,2015,Hourly
8009,2015,Hourly
8010,2015,Hourly
8011,2015,Hourly
8012,1998,Executive
8013,2015,Hourly
8014,2015,Nonexempt
8015,2015,Hourly
8016,2015,Hourly
8017,2015,Salary Grade Less 12
8018,2015,Salary Grade 12
8019,2015,Salary Grade 12
8020,2015,Salary Grade Less 12
8021,2015,Salary Grade Less 12
8022,2015,Executive
8023,2015,Hourly
8024,2015,Hourly
8025,2015,Salary Grade 12
8026,2015,Salary Grade Less 12
8027,2015,Salary Grade Less 12
8028,2015,Salary Grade Less 12
8029,2015,Salary Grade 12
8030,2015,Executive
8031,2015,Salary Grade Less 12
8032,2015,Hourly
8033,2015,Hourly
8034,2015,Hourly
8035,2015,Salary Grade Less 12
8036,2015,Salary Grade Less 12
8037,2015,Salary Grade Less 12
8038,2015,Salary Grade Less 12
8039,2015,Hourly
8040,2015,Hourly
8041,2015,Hourly
8042,2015,Salary Grade Less 12
8043,2015,Salary Grade Less 12
8044,2015,Salary Grade Less 12
8045,2015,Hourly
8046,2015,Hourly
8047,2015,Hourly
8048,2015,Hourly
8049,1997,Salary Grade Less 12
8050,2015,Salary Grade Less 12
8051,2015,Salary Grade Less 12
8052,2015,Salary Grade Less 12
8053,2015,Nonexempt
8054,2015,Hourly
8055,2015,Salary Grade Less 12
8056,2015,Hourly
8057,2015,Hourly
8058,2015,Hourly
8059,2015,Hourly
8060,2015,Salary Grade Less 12
8061,2015,Salary Grade Less 12
8062,2015,Salary Grade Less 12
8063,2015,Salary Grade Less 12
8064,2015,Hourly
8065,2015,Hourly
8066,2015,Salary Grade Less 12
8067,2006,Salary Grade 12
8068,2015,Salary Grade Less 12
8069,2015,Hourly
8070,2015,Salary Grade Less 12
8071,2015,Salary Grade Less 12
8072,2008,Salary Grade Less 12
8073,2015,Salary Grade Less 12
8074,2015,Salary Grade Less 12
8075,2015,Salary Grade Less 12
8076,2015,Salary Grade Less 12
8077,2011,Salary Grade Less 12
8078,2015,Salary Grade Less 12
8079,2015,Nonexempt
8080,2015,Executive
8081,2015,Salary Grade 12
8082,2005,Salary Grade Less 12
8083,2015,Hourly
8084,2015,Salary Grade Less 12
8085,2015,Senior Executive
8086,2015,Salary Grade Less 12
8087,2015,Salary Grade Less 12
8088,2015,Executive
8089,2015,Salary Grade Less 12
8090,2015,Hourly
8091,2007,Salary Grade Less 12
8092,2015,Salary Grade Less 12
8093,2015,Hourly
8094,2015,Hourly
8095,2015,Hourly
8096,2015,Hourly
8097,2015,Hourly
8098,2015,Hourly
8099,2015,Hourly
8100,2015,Hourly
8101,2015,Hourly
8102,2015,Hourly
8103,2015,Hourly
8104,2015,Hourly
8105,2015,Salary Grade Less 12
8106,2015,Hourly
8107,2015,Hourly
8108,2015,Salary Grade Less 12
8109,2015,Nonexempt
8110,2015,Salary Grade Less 12
8111,2015,Hourly
8112,2015,Hourly
8113,2015,Hourly
8114,2015,Nonexempt
8115,2015,Hourly
8116,2015,Nonexempt
8117,2015,Salary Grade Less 12
8118,2015,Salary Grade Less 12
8119,2015,Salary Grade Less 12
8120,2015,Hourly
8121,2015,Hourly
8122,2015,Hourly
8123,2015,Hourly
8125,2015,Hourly
8126,2015,Hourly
8127,2015,Nonexempt
8128,2015,Hourly
8129,2015,Salary Grade Less 12
8130,2015,Nonexempt
8131,2015,Hourly
8132,2015,Hourly
8133,2015,Salary Grade 12
8134,2015,Salary Grade Less 12
8135,2015,Salary Grade Less 12
8136,2015,Senior Executive
8137,2015,Salary Grade Less 12
8138,2015,Nonexempt
8139,2015,Hourly
8140,2015,Nonexempt
8141,2015,Salary Grade Less 12
8142,2015,Salary Grade Less 12
8143,2015,Salary Grade Less 12
8144,2015,Hourly
8145,2015,Hourly
8146,2015,Hourly
8147,2015,Hourly
8148,2015,Salary Grade Less 12
8149,2015,Hourly
8150,2015,Hourly
8151,2015,Hourly
8152,2015,Hourly
8153,2015,Hourly
8154,2015,Hourly
8155,2015,Hourly
8156,2015,Hourly
8157,2015,Salary Grade Less 12
8158,2015,Hourly
8159,2015,Salary Grade Less 12
8160,2015,Hourly
8161,2015,Hourly
8162,2015,Hourly
8163,2015,Hourly
8164,2015,Nonexempt
8165,2015,Hourly
8166,2015,Hourly
8167,2015,Hourly
8168,2015,Hourly
8169,2015,Salary Grade Less 12
8170,2015,Salary Grade Less 12
8171,2015,Hourly
8172,2015,Hourly
8173,2015,Hourly
8174,2015,Hourly
8175,2015,Salary Grade Less 12
8176,2015,Salary Grade 12
8177,2015,Salary Grade Less 12
8178,2001,Executive
8179,2015,Salary Grade Less 12
8180,2015,Salary Grade Less 12
8182,2015,Nonexempt
8183,2015,Hourly
8184,2015,Hourly
8185,2015,Hourly
8186,2015,Hourly
8187,2015,Hourly
8188,2015,Hourly
8189,2015,Hourly
8190,2015,Hourly
8191,2015,Hourly
8192,2015,Salary Grade 12
8193,2015,Salary Grade 12
8194,2015,Salary Grade Less 12
8195,2015,Salary Grade Less 12
8196,2015,Salary Grade Less 12
8197,2015,Salary Grade Less 12
8198,2015,Salary Grade Less 12
8199,2015,Nonexempt
8200,2015,Hourly
8201,2015,Hourly
8202,2015,Hourly
8203,2015,Hourly
8204,2015,Hourly
8205,2015,Hourly
8206,2015,Hourly
8207,2015,Hourly
8208,2015,Hourly
8209,2015,Salary Grade Less 12
8210,2015,Hourly
8211,2015,Nonexempt
8212,2015,Hourly
8213,2015,Salary Grade Less 12
8214,2015,Salary Grade 12
8216,2015,Salary Grade Less 12
8217,2012,Salary Grade Less 12
8218,2015,Hourly
8219,2015,Hourly
8220,2015,Hourly
8221,2015,Hourly
8222,2015,Hourly
8223,2015,Hourly
8224,2015,Hourly
8225,2015,Hourly
8226,2015,Hourly
8227,2015,Nonexempt
8228,2015,Salary Grade Less 12
8229,2015,Salary Grade Less 12
8230,2015,Salary Grade Less 12
8231,2013,Salary Grade Less 12
8232,2015,Salary Grade Less 12
8233,2015,Salary Grade Less 12
8234,2015,Salary Grade Less 12
8235,2015,Hourly
8236,2015,Hourly
8237,2015,Nonexempt
8238,2015,Salary Grade Less 12
8239,2015,Hourly
8240,2015,Hourly
8241,2015,Hourly
8242,2015,Hourly
8243,2015,Hourly
8244,2014,Salary Grade Less 12
8245,2015,Hourly
8246,2015,Hourly
8247,2015,Hourly
8248,2015,Hourly
8249,2015,Hourly
8250,2003,Salary Grade Less 12
8251,2003,Hourly
8252,2001,Salary Grade 12
8253,2001,Executive
8254,1999,Executive
8255,2002,Salary Grade 12
8256,2002,Salary Grade Less 12
8257,1999,Executive
8258,2001,Salary Grade Less 12
8259,1998,Salary Grade 12
8260,2002,Executive
8261,1998,Salary Grade Less 12
8262,2002,Executive
8263,2002,Salary Grade 12
8264,2000,Executive
8265,2002,Salary Grade 12
8266,2002,Salary Grade 12
8267,2002,Nonexempt
8268,2002,Executive
8269,2005,Salary Grade Less 12
8270,2002,Salary Grade Less 12
8271,1992,Executive
8272,2002,Nonexempt
8273,2002,Salary Grade Less 12
8274,1985,Senior Executive
8275,1990,Salary Grade Less 12
8276,1990,Salary Grade 12
8277,1990,Salary Grade Less 12
8278,1991,Salary Grade 12
8279,1991,Salary Grade Less 12
8280,1991,Salary Grade Less 12
8281,1981,Salary Grade Less 12
8282,1983,Nonexempt
8283,1971,Salary Grade Less 12
8284,1984,Salary Grade Less 12
8285,1978,Nonexempt
8286,1983,Salary Grade Less 12
8287,1987,Salary Grade Less 12
8288,1983,Salary Grade Less 12
8289,1986,Salary Grade Less 12
8290,1979,Nonexempt
8291,1983,Salary Grade Less 12
8292,1979,Nonexempt
8293,1986,Salary Grade 12
8294,1986,Salary Grade 12
8295,1986,Salary Grade 12
8296,1979,Salary Grade Less 12
8297,1983,Salary Grade Less 12
8298,1985,Salary Grade 12
8299,1975,Nonexempt
8300,1992,Nonexempt
8301,1987,Salary Grade Less 12
8302,1982,Nonexempt
8303,1976,Salary Grade Less 12
8304,1985,Nonexempt
8305,1979,Salary Grade 12
8306,1980,Salary Grade Less 12
8307,1986,Salary Grade Less 12
8308,1987,Nonexempt
8309,1986,Salary Grade 12
8310,1990,Nonexempt
8311,1991,Salary Grade Less 12
8312,1991,Executive
8313,1981,Salary Grade Less 12
8314,1992,Executive
8315,1990,Nonexempt
8316,1992,Nonexempt
8317,1990,Salary Grade Less 12
8318,1987,Nonexempt
8319,1992,Nonexempt
8320,1994,Salary Grade Less 12
8321,1994,Salary Grade 12
8322,1993,Salary Grade Less 12
8323,1994,Salary Grade Less 12
8324,1994,Senior Executive
8325,1987,Executive
8326,1993,Salary Grade Less 12
8327,1995,Salary Grade 12
8328,1995,Salary Grade 12
8329,1995,Salary Grade Less 12
8330,1995,Senior Executive
8331,1995,Nonexempt
8332,1995,Nonexempt
8333,1995,Salary Grade Less 12
8334,1995,Salary Grade Less 12
8335,1995,Salary Grade 12
8336,1995,Salary Grade Less 12
8337,1995,Salary Grade Less 12
8338,1995,Salary Grade Less 12
8339,1995,Executive
8340,1995,Salary Grade 12
8341,1995,Salary Grade Less 12
8342,1996,Salary Grade 12
8343,1990,Executive
8344,1995,Nonexempt
8345,1996,Salary Grade 12
8346,1996,Senior Executive
8347,1996,Salary Grade 12
8348,1996,Salary Grade Less 12
8349,1996,Nonexempt
8350,1997,Salary Grade Less 12
8351,2004,Salary Grade Less 12
8352,1995,Salary Grade Less 12
8353,1997,Salary Grade 12
8354,1997,Salary Grade Less 12
8355,1997,Executive
8356,1997,Salary Grade Less 12
8357,1997,Salary Grade Less 12
8358,1997,Salary Grade Less 12
8359,1997,Salary Grade Less 12
8360,1997,Salary Grade Less 12
8361,1996,Salary Grade Less 12
8362,1997,Executive
8363,1998,Salary Grade 12
8364,1996,Salary Grade 12
8365,1997,Salary Grade Less 12
8366,1997,Senior Executive
8367,1997,Nonexempt
8368,1997,Salary Grade Less 12
8369,1997,Salary Grade 12
8370,1997,Nonexempt
8371,1997,Salary Grade Less 12
8372,1998,Salary Grade 12
8373,2000,Salary Grade Less 12
8374,1998,Salary Grade Less 12
8375,1998,Salary Grade Less 12
8376,1998,Salary Grade 12
8377,1998,Salary Grade 12
8378,1998,Salary Grade Less 12
8379,1998,Salary Grade 12
8380,1998,Executive
8381,1998,Salary Grade 12
8382,1999,Salary Grade 12
8383,1988,Salary Grade Less 12
8384,1998,Executive
8385,1998,Salary Grade Less 12
8386,1998,Salary Grade 12
8387,1998,Salary Grade Less 12
8388,1998,Salary Grade 12
8389,1998,Salary Grade Less 12
8390,1998,Salary Grade 12
8391,1998,Salary Grade 12
8392,1998,Salary Grade Less 12
8393,1998,Salary Grade 12
8394,1998,Salary Grade Less 12
8395,1998,Executive
8396,1998,Salary Grade 12
8397,1998,Salary Grade Less 12
8398,1998,Salary Grade 12
8399,1998,Salary Grade Less 12
8400,1998,Executive
8401,1998,Salary Grade Less 12
8402,1999,Salary Grade 12
8403,1998,Salary Grade Less 12
8404,1999,Executive
8405,1999,Salary Grade Less 12
8406,1996,Salary Grade 12
8407,1999,Salary Grade 12
8408,1999,Nonexempt
8409,1999,Salary Grade 12
8410,1999,Salary Grade 12
8411,1983,Nonexempt
8412,1996,Nonexempt
8413,1991,Nonexempt
8414,1999,Salary Grade 12
8415,1998,Salary Grade Less 12
8416,1999,Executive
8417,1999,Salary Grade 12
8418,1999,Salary Grade 12
8419,1999,Salary Grade Less 12
8420,1993,Executive
8421,1999,Salary Grade 12
8422,1999,Salary Grade 12
8423,1999,Salary Grade 12
8424,1999,Salary Grade 12
8425,1999,Salary Grade Less 12
8426,1999,Salary Grade Less 12
8427,1999,Salary Grade 12
8428,1999,Salary Grade Less 12
8429,1999,Salary Grade 12
8430,1999,Salary Grade Less 12
8431,1999,Nonexempt
8432,1999,Salary Grade 12
8433,1999,Salary Grade Less 12
8434,1999,Nonexempt
8435,2000,Salary Grade 12
8436,1998,Nonexempt
8437,2001,Nonexempt
8438,1999,Executive
8439,1999,Salary Grade 12
8440,1999,Salary Grade Less 12
8441,1999,Salary Grade 12
8442,1999,Nonexempt
8443,1999,Salary Grade Less 12
8444,1999,Nonexempt
8445,1999,Salary Grade 12
8446,1985,Salary Grade 12
8447,1999,Salary Grade Less 12
8448,1999,Salary Grade 12
8449,1999,Salary Grade 12
8450,1999,Salary Grade 12
8451,1999,Nonexempt
8452,1999,Salary Grade Less 12
8453,1999,Nonexempt
8454,1999,Salary Grade 12
8455,1996,Salary Grade Less 12
8456,1999,Salary Grade Less 12
8457,1999,Executive
8458,2000,Salary Grade Less 12
8459,2000,Salary Grade 12
8460,2000,Salary Grade 12
8461,1997,Salary Grade Less 12
8462,2000,Nonexempt
8463,2003,Salary Grade Less 12
